CustomerCode,order_rows,total_amount,total_area
TGT,609,11341052.513344001,37630.3318
H-2,476,3804801.2957,19505.3958
P-5,1862,3066518.227892,79666.7905
M-1,2380,1959794.03002,209725.222
A-9,1173,1592079.79,53625.6544
C-2,232,1557123.0,9510.0
JL,1073,1231578.2775,2980.65
N-1,184,949375.67575,919.6505
T-5,418,733832.95,9221.375
C-1,1058,567620.720964,62763.0555
T-2,551,563098.8478,2434.7624
I-2,436,426626.0484,1508.632
PD,190,404528.945484,725.0137
L-5,14,358890.0,210.0
M-2,282,334245.22375,8200.3959
