feature,coefficient,abs_coefficient
AreaFt,0.9144932090632004,0.9144932090632004
Other,0.49109353337621425,0.49109353337621425
Knotted,0.3729451197142721,0.3729451197142721
QtyRequired,0.18401528748316623,0.18401528748316623
Hand_Tufted,-0.1768297298160519,0.1768297298160519
Double_Back,-0.13091599989544803,0.13091599989544803
Square,0.06734509092105348,0.06734509092105348
Hand_Woven,-0.046775958829068306,0.046775958829068306
REC,-0.04240308681375201,0.04240308681375201
Durry,-0.02996687828152086,0.02996687828152086
Jacquard,-0.0069883412302638075,0.0069883412302638075
Round,0.0059293224509881365,0.0059293224509881365
Handloom,0.005194103108847498,0.005194103108847498
CustomerCode,0.0,0.0
ITEM_NAME,0.0,0.0
CountryName,0.0,0.0
ShapeName,0.0,0.0
